,Nombre,Detalles,Precio actual,Precio anterior,Descuento
54,Sellado Hp 15.6 Hd Intel N6045u 4gb 128gb Ssd Rojo Escarl...,na,2209.0,2209.0,0
55,Laptop/tablet 2 En 1 Hp Revolve 810 Core I5. 8gb. Ssd. Touch,Reacondicionado,1490.0,1490.0,0
56,Ultrabook Lenovo Thinkpad Ci7 5ta Gen 12gb 1 Tb Full Hd 14 ,Reacondicionado,1990.0,1990.0,0
57,Laptop Core I5 8va Hp Dell Lenovo Asus Acer Toshiba 14 PuLG.,Usado,2149.0,2149.0,0
58,"Tornillos Para Pcs...envios A Provincia, Pack 100u,",na,10.0,10.0,0
59,Laptop Huawei Matebook D14 Modelo Ryzen 7 Ram 8gb 512gb 2021,na,3500.0,3500.0,0
60,A Estrenar Hp Stream 14 Hd Intel N4000 4gb Ram 64gb 14 Cb...,na,1929.0,1929.0,0
61, Macbook Air 2020 Core I3 256gb 8gb Nuevo Garantia 5 Tiendas,na,4198.0,4198.0,0
62,Chuwi Herobook Pro Laptop Windows 10 Intel 14.1 Notebook...,na,2099.0,2099.0,0
63,Laptop Teclast F6 Plus 8gb 13.3 Touch Screen Convertible 360,na,2499.0,2499.0,0
64,Ultrabook Lenovo Thinkpad Ci7 5ta Gen 4gb 1 Tb Full Hd 14 ,Reacondicionado,1790.0,1790.0,0
65,Dell Alienware Area 51m 17  I9 32gb 1tb 512gb Ssd Rtx 2080,na,17999.0,17999.0,0
66,Laptop 2020 Xiaomi Redmibook 16 R I7 16gb 512gb Ssd Matebook,na,4998.0,4998.0,0
67,Laptop Asus Zenbook Pro Duo 4k Tác I9 1tb Ssd 32gb Rtx 2060 ,na,15699.0,15699.0,0
68,Nuevo Hp 15.6 Full Hd Touchscreen Laptop Intel I7 1065g7...,na,4099.0,4099.0,0
69,"Laptop Hp Elitebook 840 G2 14  Core I5 5200u ,8 Gb Ram, 500 ",Reacondicionado,1490.0,1937.0,23% OFF
70,Laptop Asus Rog Strix G Gl531gt-rs73 Gaming I7 512gb 8gb,na,5399.0,7018.0,23% OFF
71,"Case Para Macbook Air, Retina, Air, Touch Bar, Pro Desd S/64",na,64.0,64.0,0
72,Macbook Pro Retina Touch Bar 16 / Core I7 512gb 16gb / 2019,na,12350.0,12350.0,0
73,Asus Rog Zephyrus M15 I7 10750h 16gb 1tb Ssd Rtx 2070 8gb,na,7499.0,7499.0,0
74,Laptop Macbook Pro 16  I7 6-core 16gb-512gb Ssd Video 4gb !!,na,11899.0,11899.0,0
75,Laptop Macbook Pro 2020 13 I5 2ghz 1tb Ssd 16gb Mwp52ll/a,na,8999.0,8999.0,0
76,"Laptop Alta Gama Hp Elitbook 840 G1, G2 Ci5, 5ta.gen 8gb Ssd",Reacondicionado,1589.0,1589.0,0
77,Laptop Hp Omen 17-cb1080 I7 10ma 16gb 512ssd 17.3fhd 8gb2070,na,10100.0,10100.0,0
78,Laptop Lenovo Legion 5 15imh05 15.6 Core I7 256gb 8gb,na,5349.0,6953.0,23% OFF
79,Laptop Lenovo Thinkbook Plus Intel Core I5 10ma Generación,na,4899.0,4899.0,0
80,Laptop Macbook Air Retina 2019 13.3 I5 Ssd 256gb 8gb Dorada ,na,6499.0,6499.0,0
81,Laptop Empresarial Hp/dell Ci5 5ta.gen. 4gb 1tb Hdmi 14.1 ,Usado,1590.0,1590.0,0
82,Laptop Lenovo Thinkpad l15 Intel Core I7 Ctas Sin Int  Combo,na,4149.0,4149.0,0
83,Lenovo Thinkpad X390 13.3 Fhd Ips I7 8665u 8gb 256gb Ssd...,na,5849.0,5849.0,0
84,Laptop Macbook Air 256gb Y 16gb De Ram Tienda La Molina,na,6500.0,6500.0,0
85,Laptop Hp 2034la I7 10ma 15.6' 12gb 1tb Video 2gb Mx330 (e,na,4199.0,4199.0,0
86,Nuevo Hp X360 15t 11th Gen Intel Core I7 16gb Ram 512gb S...,na,5279.0,5279.0,0
87,Laptop Dell Alienware M15-7593blk Intel Core I7 512gb 16gb,na,9709.0,12621.0,23% OFF
88,Macbook Air 2020 / M1 512gb 8gb / Full Stock Ya! / Apple,na,7050.0,7050.0,0
89,Hp Envy X360 2 En 1 15.6 Laptop Con Pantalla Táctil 15m E...,na,4329.0,4329.0,0
90,Laptop Lenovo Legion5 15.6  Core I7-10750h 16gb/512 Gb/w10,na,6399.0,7619.0,16% OFF
91,Laptop Msi Thin Gf65 I7 9na/512gb Ssd Gtx 1660 Ti 6gb Nuevas,na,5599.0,5599.0,0
92,Laptop Macbook Pro 2020 13 I5 10ma/512gb Ssd/16gb Ram Nueva!,na,8689.0,8689.0,0
93,Asus Expertbook  14  I7ma 16gb Ram 512gb Ssd Batería 24 Hora,na,7399.0,7399.0,0
94,Nuevo Hp 15.6 Fhd Laptop Core I7 1165g7 Hasta 512gb Ssd H...,na,5839.0,5839.0,0
95,Laptop Macbook Pro 2020 13 I5 8va /256gb Ssd/8gb Ram Nuevo!,na,6899.0,6899.0,0
